xover              ,t ,count_s0,count_s1,avg_fitness_s0    ,stdev_fitness_s0  ,avg_fitness_s1    ,stdev_fitness_s1
two_point_crossover,32,3       ,247     ,95                ,0.0               ,95.65182186234817 ,0.910768192157202
two_point_crossover,33,1       ,249     ,                  ,0                 ,96.22489959839358 ,0.840999842952787
two_point_crossover,34,0       ,250     ,                  ,0                 ,96.66             ,0.8216449364576074
two_point_crossover,35,0       ,250     ,                  ,0                 ,97.18             ,0.8428770770808002
two_point_crossover,36,0       ,250     ,                  ,0                 ,97.664            ,0.7163495142079906
two_point_crossover,37,0       ,250     ,                  ,0                 ,98.076            ,0.5580948660560069
two_point_crossover,38,0       ,250     ,                  ,0                 ,98.404            ,0.5675141312395899
two_point_crossover,39,0       ,250     ,                  ,0                 ,98.696            ,0.5628955548078968
two_point_crossover,40,0       ,250     ,                  ,0                 ,99.004            ,0.478434528847547
two_point_crossover,41,0       ,250     ,                  ,0                 ,99.216            ,0.44059105974555457
two_point_crossover,42,0       ,250     ,                  ,0                 ,99.428            ,0.4957814002029005
two_point_crossover,43,0       ,250     ,                  ,0                 ,99.668            ,0.47187568984497036
two_point_crossover,44,0       ,250     ,                  ,0                 ,99.852            ,0.35581232361816
two_point_crossover,45,0       ,250     ,                  ,0                 ,99.984            ,0.12572680269402642
two_point_crossover,46,0       ,250     ,                  ,0                 ,100               ,0.0
